id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_outcome_id,duel_outcome_name,counterpress,pass_no_touch,off_camera,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_aerial_won,dribble_overrun,out,foul_won_defensive,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,pass_shot_assist,shot_aerial_won,goalkeeper_end_location,pass_cut_back,foul_committed_offensive,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,pass_straight,shot_one_on_one,pass_through_ball,miscontrol_aerial_won,pass_inswinging,foul_committed_type_id,foul_committed_type_name,ball_recovery_offensive,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
7a57820c-6fa4-4231-b0ab-26887f2325f4,1354,1,00:31:29.477,31,29,69,0.266077,17,Pressure,212,Atlético Madrid,1,Regular Play,214,Espanyol,,,"['b70dd993-8d54-4abb-943d-66270c627ac0', 'c9f36fc4-04f9-43ef-a5aa-2d918d14dc69']","[58.1, 63.8]",7781.0,Felipe Salvador Caicedo Corozo,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.477
b70dd993-8d54-4abb-943d-66270c627ac0,1355,1,00:31:29.612,31,29,69,1.347307,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['2945f836-8c5f-428a-967a-5aed498e478f', '7a57820c-6fa4-4231-b0ab-26887f2325f4']","[60.9, 13.8]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,5487.0,Antoine Griezmann,12.856127,0.09347678,1.0,Ground Pass,"[73.7, 15.0]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.612
2945f836-8c5f-428a-967a-5aed498e478f,1356,1,00:31:30.959,31,30,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['b70dd993-8d54-4abb-943d-66270c627ac0'],"[73.7, 15.0]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.959
cb1206c2-dfac-4dac-a9b5-3f84a3d04ea5,1357,1,00:31:30.959,31,30,69,0.019028,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['195052be-0d6d-46d3-a313-5d04a297ebc1', '2945f836-8c5f-428a-967a-5aed498e478f']","[73.7, 15.0]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,"[73.7, 15.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.959
195052be-0d6d-46d3-a313-5d04a297ebc1,1358,1,00:31:30.978,31,30,69,1.406374,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['1ffee0d7-f665-47a5-85dd-2f23b4802f97'],"[73.7, 15.0]",5487.0,Antoine Griezmann,22.0,Right Center Forward,5199.0,Jorge Resurrección Merodio,13.669309,-1.371966,1.0,Ground Pass,"[76.4, 1.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.978
1ffee0d7-f665-47a5-85dd-2f23b4802f97,1359,1,00:31:32.384,31,32,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['195052be-0d6d-46d3-a313-5d04a297ebc1'],"[76.4, 1.6]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.384
959e3d75-8af8-414f-92bd-2e2d8e3dd4e6,1360,1,00:31:32.384,31,32,69,0.953221,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['09d05fca-062a-48a3-ae9b-ed9a5f0e3b99', '1ffee0d7-f665-47a5-85dd-2f23b4802f97']","[76.4, 1.6]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,"[80.9, 1.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.384
09d05fca-062a-48a3-ae9b-ed9a5f0e3b99,1361,1,00:31:33.338,31,33,69,0.343873,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['db31dbfb-4eed-45ea-981a-fb70b7ee28af'],"[80.9, 1.7]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,6320.0,Filipe Luís Kasmirski,2.3086793,-0.30805278,1.0,Ground Pass,"[83.1, 1.0]",70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.338
db31dbfb-4eed-45ea-981a-fb70b7ee28af,1362,1,00:31:33.681,31,33,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['09d05fca-062a-48a3-ae9b-ed9a5f0e3b99'],"[83.1, 1.0]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.681
7de8edd4-e32d-4ab9-b743-cb891398a126,1363,1,00:31:33.681,31,33,69,0.726754,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['138fb2fe-deed-490f-af99-d1a87f9201ec', '742e66a2-e535-4db4-8ff9-6c134219afba', 'db31dbfb-4eed-45ea-981a-fb70b7ee28af']","[83.1, 1.0]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,,,,,,,,,,,,"[81.4, 1.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.681
742e66a2-e535-4db4-8ff9-6c134219afba,1364,1,00:31:33.843,31,33,69,0.460161,17,Pressure,212,Atlético Madrid,1,Regular Play,214,Espanyol,,,['7de8edd4-e32d-4ab9-b743-cb891398a126'],"[38.4, 78.5]",27148.0,Abraham González Casanova,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.843
138fb2fe-deed-490f-af99-d1a87f9201ec,1365,1,00:31:34.408,31,34,69,0.999131,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['e2e9e4c9-ce71-46f2-800d-20657fad13f5'],"[81.4, 1.6]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,5199.0,Jorge Resurrección Merodio,6.8066144,0.044089057,1.0,Ground Pass,"[88.2, 1.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,941950a6-76c9-4c88-b888-bda5c9c98092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,1894.408
e2e9e4c9-ce71-46f2-800d-20657fad13f5,1366,1,00:31:35.407,31,35,69,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['138fb2fe-deed-490f-af99-d1a87f9201ec'],"[88.2, 1.9]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.407
6cdd98c7-485d-4624-ba22-f8a26ec13dce,1367,1,00:31:35.407,31,35,69,2.642611,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['941950a6-76c9-4c88-b888-bda5c9c98092', 'e2e9e4c9-ce71-46f2-800d-20657fad13f5']","[88.2, 1.9]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,"[93.6, 19.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.407
