id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,counterpress,foul_won_defensive,pass_cross,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_through_ball,pass_no_touch,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,goalkeeper_punched_out,50_50_outcome_id,50_50_outcome_name,pass_straight,pass_cut_back,dribble_overrun,clearance_left_foot,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,shot_first_time,pass_outswinging,clearance_other,shot_one_on_one,pass_inswinging,block_deflection,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,shot_deflected,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,shot_open_goal,timestamp_seconds
49a74b1e-c57c-48c2-997c-76f05117d80d,506,1,00:12:36.123,12,36,46,1.703169,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['0d2e9bf0-cc8f-4bee-a297-a99fc49979a8'],"[60.9, 20.1]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,6559.0,Juan Carlos Pérez López,26.428205,-0.544962,1.0,Ground Pass,"[83.5, 6.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.123
0d2e9bf0-cc8f-4bee-a297-a99fc49979a8,507,1,00:12:37.826,12,37,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['49a74b1e-c57c-48c2-997c-76f05117d80d'],"[83.5, 6.4]",6559.0,Juan Carlos Pérez López,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.826
a8b6f082-4b9f-4a2e-9662-86c6e09c0599,508,1,00:12:37.826,12,37,46,0.039999,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['0d2e9bf0-cc8f-4bee-a297-a99fc49979a8', 'd3586a0f-8fbf-46dd-9ff1-6a38440814cf']","[83.5, 6.4]",6559.0,Juan Carlos Pérez López,6.0,Left Back,,,,,,,,,,,,"[83.5, 6.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.826
d3586a0f-8fbf-46dd-9ff1-6a38440814cf,509,1,00:12:37.866,12,37,46,0.775703,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['00597bbb-364c-4de1-984a-c97523060616'],"[83.5, 6.4]",6559.0,Juan Carlos Pérez López,6.0,Left Back,8419.0,Duje Čop,9.563472,1.9454775,1.0,Ground Pass,"[80.0, 15.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.866
00597bbb-364c-4de1-984a-c97523060616,510,1,00:12:38.642,12,38,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['d3586a0f-8fbf-46dd-9ff1-6a38440814cf'],"[80.0, 15.3]",8419.0,Duje Čop,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.642
5be1794f-51a1-4a85-9f46-16829c8e6619,511,1,00:12:38.642,12,38,46,1.213885,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['00597bbb-364c-4de1-984a-c97523060616', '02f71c35-c2ac-4ef8-8126-e5181a49c8c1', '236f3af3-d40b-45b9-bd51-67320bd041d8']","[80.0, 15.3]",8419.0,Duje Čop,24.0,Left Center Forward,,,,,,,,,,,,"[75.4, 6.4]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.642
236f3af3-d40b-45b9-bd51-67320bd041d8,512,1,00:12:39.269,12,39,46,0.729389,17,Pressure,223,Málaga,1,Regular Play,221,Levante UD,,,"['02f71c35-c2ac-4ef8-8126-e5181a49c8c1', '5be1794f-51a1-4a85-9f46-16829c8e6619']","[40.1, 71.8]",5678.0,Jefferson Andrés Lerma Solís,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.269
02f71c35-c2ac-4ef8-8126-e5181a49c8c1,513,1,00:12:39.856,12,39,46,1.999999,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,"['236f3af3-d40b-45b9-bd51-67320bd041d8', 'e06652c7-8a2b-4b84-9fd7-d857c6e68cbc']","[75.4, 6.4]",8419.0,Duje Čop,24.0,Left Center Forward,26669.0,Weligton Róbson Pena de Oliveira,25.583784,2.8111897,1.0,Ground Pass,"[51.2, 14.7]",,,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.856
e06652c7-8a2b-4b84-9fd7-d857c6e68cbc,514,1,00:12:41.856,12,41,46,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['02f71c35-c2ac-4ef8-8126-e5181a49c8c1'],"[51.2, 14.7]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.856
90d0732d-7b73-4171-8fc1-e07f45db8bc2,515,1,00:12:41.856,12,41,46,0.999998,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['0f89df1d-3311-40b0-9dc5-668a5cf397ee', 'e06652c7-8a2b-4b84-9fd7-d857c6e68cbc']","[51.2, 14.7]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,,,,,,,,,,,,"[51.2, 14.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.856
