id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,out,goalkeeper_body_part_id,goalkeeper_body_part_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,pass_switch,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_deflected,block_deflection,foul_won_defensive,shot_first_time,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,clearance_right_foot,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_straight,dribble_overrun,pass_outswinging,pass_inswinging,dribble_nutmeg,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,timestamp_seconds
a9446572-7674-4fd3-8f77-35b2b94bad62,2383,2,00:21:46.889,66,46,130,2.449753,43,Carry,213,Sevilla,6,From Counter,213,Sevilla,,,"['a540be19-56da-4d30-bbc0-27227f17f759', 'ca093039-6819-4092-acde-22db160566e8', 'edb7aaeb-8d3e-4b45-95ab-7e0f6926c036']",,"[32.6, 4.0]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,"[54.2, 5.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.889
edb7aaeb-8d3e-4b45-95ab-7e0f6926c036,2384,2,00:21:49.004,66,49,130,0.782147,17,Pressure,213,Sevilla,6,From Counter,222,Villarreal,,,"['a9446572-7674-4fd3-8f77-35b2b94bad62', 'ca093039-6819-4092-acde-22db160566e8']",,"[65.9, 75.1]",6609.0,Denis Suárez Fernández,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.004
ca093039-6819-4092-acde-22db160566e8,2385,2,00:21:49.339,66,49,130,3.865182,30,Pass,213,Sevilla,6,From Counter,213,Sevilla,,,"['91b13444-e13e-46e9-a0c8-d4cfedfcd72b', 'edb7aaeb-8d3e-4b45-95ab-7e0f6926c036']",,"[54.2, 5.0]",6401.0,Kevin Gameiro,23.0,Center Forward,8523.0,Yevhen Konoplyanka,29.106184,0.020615635,1.0,Ground Pass,"[83.3, 5.6]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.339
91b13444-e13e-46e9-a0c8-d4cfedfcd72b,2386,2,00:21:53.204,66,53,130,,42,Ball Receipt*,213,Sevilla,6,From Counter,213,Sevilla,,,['ca093039-6819-4092-acde-22db160566e8'],,"[83.3, 5.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.204
04a34218-0858-47f2-883f-a1c31de21ecb,2387,2,00:21:53.204,66,53,130,1.109179,43,Carry,213,Sevilla,6,From Counter,213,Sevilla,,,"['91b13444-e13e-46e9-a0c8-d4cfedfcd72b', 'a91efd81-429d-4a20-9b2e-02ab9797a9e7']",,"[83.3, 5.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,"[98.1, 10.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.204
a91efd81-429d-4a20-9b2e-02ab9797a9e7,2388,2,00:21:54.313,66,54,130,1.870147,30,Pass,213,Sevilla,6,From Counter,213,Sevilla,,,['83207f19-7a48-4de2-b8d2-db4408ec5bf5'],,"[98.1, 10.4]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,6356.0,Michael Krohn-Dehli,35.01157,1.2662076,3.0,High Pass,"[108.6, 43.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.313
83207f19-7a48-4de2-b8d2-db4408ec5bf5,2389,2,00:21:55.881,66,55,130,,42,Ball Receipt*,213,Sevilla,6,From Counter,213,Sevilla,,,['a91efd81-429d-4a20-9b2e-02ab9797a9e7'],,"[108.6, 43.8]",6356.0,Michael Krohn-Dehli,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.881
ef701f57-1f3f-4c1e-a902-cfc910600776,2390,2,00:21:55.881,66,55,130,0.0,10,Interception,213,Sevilla,6,From Counter,222,Villarreal,,,,,"[11.5, 36.5]",6622.0,Tomás Pina Isla,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,1315.881
ddb03756-192f-4f8b-86f2-45aac1562ef6,2391,2,00:21:56.156,66,56,130,1.442732,16,Shot,213,Sevilla,6,From Counter,213,Sevilla,,,['a2ecbc3f-be67-490a-b66f-fbdc7ed4cdeb'],,"[107.8, 41.9]",6356.0,Michael Krohn-Dehli,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3066591,"[115.9, 32.7]",,87.0,Open Play,40.0,Right Foot,,101.0,Wayward,91.0,Half Volley,"[{'location': [109.7, 28.2], 'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.9, 24.7], 'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.2, 34.2], 'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.5, 39.0], 'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.0, 49.1], 'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.1, 34.2], 'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.2, 39.7], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.2, 40.3], 'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,1316.156
a2ecbc3f-be67-490a-b66f-fbdc7ed4cdeb,2392,2,00:21:57.599,66,57,130,0.0,23,Goal Keeper,213,Sevilla,6,From Counter,222,Villarreal,,,['ddb03756-192f-4f8b-86f2-45aac1562ef6'],,"[3.9, 39.8]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.9, 39.8]",44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.599
353d6dd2-d62a-4c6f-bc0c-263d678a7ddb,2393,2,00:21:57.841,66,57,130,0.380928,17,Pressure,213,Sevilla,6,From Counter,222,Villarreal,,,['3179aa31-13cd-41f6-8947-911e2d0167ec'],,"[4.3, 51.9]",5588.0,Antonio Rukavina,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.841
3179aa31-13cd-41f6-8947-911e2d0167ec,2394,2,00:21:58.072,66,58,130,0.190323,30,Pass,213,Sevilla,6,From Counter,213,Sevilla,,,"['353d6dd2-d62a-4c6f-bc0c-263d678a7ddb', '6836cec2-47ea-4428-a54b-576398068ea0']",,"[115.8, 28.2]",6401.0,Kevin Gameiro,23.0,Center Forward,,,3.2140317,-3.048116,2.0,Low Pass,"[112.6, 27.9]",37.0,Head,66.0,Recovery,,True,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,1318.0720000000001
6836cec2-47ea-4428-a54b-576398068ea0,2395,2,00:21:58.262,66,58,130,0.0,6,Block,213,Sevilla,1,Regular Play,222,Villarreal,,,['3179aa31-13cd-41f6-8947-911e2d0167ec'],,"[7.5, 52.2]",5588.0,Antonio Rukavina,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.262
7b6088c5-aedc-4a66-a836-27e37acc4f09,2396,2,00:22:31.902,67,31,130,0.0,40,Injury Stoppage,213,Sevilla,1,Regular Play,222,Villarreal,,,,,,3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.902
11405488-4c13-4056-8ee0-334539e2e705,2397,2,00:22:54.804,67,54,130,0.0,40,Injury Stoppage,213,Sevilla,1,Regular Play,213,Sevilla,,,,,,8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.804
