id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,foul_committed_advantage,foul_won_advantage,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,pass_switch,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,clearance_aerial_won,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,foul_won_defensive,clearance_left_foot,goalkeeper_technique_id,goalkeeper_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,miscontrol_aerial_won,pass_straight,shot_first_time,pass_inswinging,shot_deflected,block_deflection,pass_no_touch,shot_one_on_one,dribble_overrun,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_through_ball,shot_saved_off_target,goalkeeper_shot_saved_off_target,timestamp_seconds
fa01967b-0b8b-485c-804c-120f5e537e9e,3366,2,00:38:54.650,83,54,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['21efa850-8a3f-4e0c-bd54-2fd6551840ca'],"[82.2, 22.2]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334.65
548d1af7-3d87-46cf-807a-cfbd0d794b86,3367,2,00:38:54.650,83,54,186,2.156864,30,Pass,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,"['21efa850-8a3f-4e0c-bd54-2fd6551840ca', '7d0cb825-22c5-4c77-997d-884ed403dd86']","[33.8, 59.2]",6376.0,Stefan Savić,3.0,Right Center Back,6378.0,Jan Oblak,28.61905,-2.825367,3.0,High Pass,"[6.6, 50.3]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334.65
7d0cb825-22c5-4c77-997d-884ed403dd86,3368,2,00:38:56.807,83,56,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,['548d1af7-3d87-46cf-807a-cfbd0d794b86'],"[6.6, 50.3]",6378.0,Jan Oblak,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336.807
9f18134e-3e7b-4aad-8775-c72a54d94c52,3369,2,00:38:56.807,83,56,186,5.676958,43,Carry,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,"['28b07463-4d56-46cd-bf04-7929d4d8bf58', '7d0cb825-22c5-4c77-997d-884ed403dd86']","[6.6, 50.3]",6378.0,Jan Oblak,1.0,Goalkeeper,,,,,,,,,,,,"[12.4, 51.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336.807
28b07463-4d56-46cd-bf04-7929d4d8bf58,3370,2,00:39:02.484,84,2,186,4.580233,30,Pass,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,"['45658e81-4b91-4e16-ac3d-c78fef8a9c22', '974f0d07-7996-4c11-a246-492e5a0609a4']","[12.4, 51.1]",6378.0,Jan Oblak,1.0,Goalkeeper,6382.0,Fernando José Torres Sanz,65.802734,-0.009118289,3.0,High Pass,"[78.2, 50.5]",68.0,Drop Kick,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2342.484
45658e81-4b91-4e16-ac3d-c78fef8a9c22,3371,2,00:39:07.064,84,7,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,['28b07463-4d56-46cd-bf04-7929d4d8bf58'],"[78.9, 50.3]",6382.0,Fernando José Torres Sanz,24.0,Left Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.064
9d78859a-f3b6-4809-a223-a03609a84c3c,3372,2,00:39:07.064,84,7,186,0.0,4,Duel,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,['974f0d07-7996-4c11-a246-492e5a0609a4'],"[78.2, 50.5]",6382.0,Fernando José Torres Sanz,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.064
974f0d07-7996-4c11-a246-492e5a0609a4,3373,2,00:39:07.064,84,7,186,1.988927,30,Pass,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['185ab7e7-b7d6-441b-a0aa-dd96d7f091b4', '28b07463-4d56-46cd-bf04-7929d4d8bf58', '9d78859a-f3b6-4809-a223-a03609a84c3c']","[41.9, 29.6]",22819.0,Bruno Soriano Llido,13.0,Right Center Midfield,6609.0,Denis Suárez Fernández,9.633276,-0.7266424,3.0,High Pass,"[49.1, 23.2]",,,66.0,Recovery,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.064
185ab7e7-b7d6-441b-a0aa-dd96d7f091b4,3374,2,00:39:09.053,84,9,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['974f0d07-7996-4c11-a246-492e5a0609a4'],"[49.1, 23.2]",6609.0,Denis Suárez Fernández,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.053
ae63baa4-3fff-4bde-b116-aac872231f6d,3375,2,00:39:09.053,84,9,186,2.068651,43,Carry,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['185ab7e7-b7d6-441b-a0aa-dd96d7f091b4', '2c9d7c1f-62c5-42c7-aa90-f4d447ff89a4', '4ccaf1f6-b0ce-48d9-894c-865fa651484c']","[49.1, 23.2]",6609.0,Denis Suárez Fernández,16.0,Left Midfield,,,,,,,,,,,,"[55.2, 5.4]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.053
4ccaf1f6-b0ce-48d9-894c-865fa651484c,3376,2,00:39:10.316,84,10,186,1.095855,17,Pressure,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,"['2c9d7c1f-62c5-42c7-aa90-f4d447ff89a4', 'ae63baa4-3fff-4bde-b116-aac872231f6d']","[71.0, 56.9]",18904.0,Claudio Matías Kranevitter,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350.316
2c9d7c1f-62c5-42c7-aa90-f4d447ff89a4,3377,2,00:39:11.121,84,11,186,0.777883,30,Pass,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['4ccaf1f6-b0ce-48d9-894c-865fa651484c', 'ff2be4bc-0399-4404-a39a-b470c340caa7']","[55.2, 5.4]",6609.0,Denis Suárez Fernández,16.0,Left Midfield,6761.0,Leonardo Carrilho Baptistão,9.57549,0.43094897,2.0,Low Pass,"[63.9, 9.4]",38.0,Left Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.121
ff2be4bc-0399-4404-a39a-b470c340caa7,3378,2,00:39:11.899,84,11,186,,42,Ball Receipt*,222,Villarreal,7,From Goal Kick,222,Villarreal,,,['2c9d7c1f-62c5-42c7-aa90-f4d447ff89a4'],"[63.9, 9.4]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.899
f84d0e21-3a70-4b23-a11c-4b7a445cd49b,3379,2,00:39:11.899,84,11,186,2.169009,43,Carry,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['68ce2fb0-f382-43f3-8716-870447007d37', '93bbe50e-f795-4a62-add6-e40725a86968', 'ff2be4bc-0399-4404-a39a-b470c340caa7']","[63.9, 9.4]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,"[63.9, 9.4]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.899
68ce2fb0-f382-43f3-8716-870447007d37,3380,2,00:39:13.185,84,13,186,0.88364,17,Pressure,222,Villarreal,7,From Goal Kick,212,Atlético Madrid,,,"['93bbe50e-f795-4a62-add6-e40725a86968', 'f84d0e21-3a70-4b23-a11c-4b7a445cd49b']","[56.2, 70.7]",18904.0,Claudio Matías Kranevitter,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353.185
93bbe50e-f795-4a62-add6-e40725a86968,3381,2,00:39:14.068,84,14,186,0.0,3,Dispossessed,222,Villarreal,7,From Goal Kick,222,Villarreal,,,"['68ce2fb0-f382-43f3-8716-870447007d37', '82831509-7e08-441b-8fdf-5f4737797c6d']","[63.9, 9.4]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.068
82831509-7e08-441b-8fdf-5f4737797c6d,3382,2,00:39:14.068,84,14,187,0.0,4,Duel,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['93bbe50e-f795-4a62-add6-e40725a86968'],"[56.2, 70.7]",18904.0,Claudio Matías Kranevitter,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,11.0,Tackle,,True,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354.068
