id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,out,clearance_right_foot,duel_type_id,duel_type_name,pass_aerial_won,foul_committed_offensive,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,clearance_left_foot,pass_cross,pass_cut_back,miscontrol_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_straight,shot_first_time,pass_outswinging,foul_won_advantage,shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_shot_saved_off_target,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,pass_goal_assist,pass_inswinging,shot_saved_to_post,goalkeeper_shot_saved_to_post,dribble_nutmeg,shot_open_goal,50_50_outcome_id,50_50_outcome_name,dribble_overrun,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,block_offensive,pass_deflected,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
8b338357-7ff8-4cdf-84fc-803d0dbd49c3,2097,2,00:19:20.772,64,20,149,0.356053,17,Pressure,322,Eibar,4,From Throw In,221,Levante UD,,,"['8f47ed55-2b61-49b9-9aed-41e0b147b952', 'f99bf672-9425-41e3-8f0b-8c1a50f2d232']",,"[38.6, 5.3]",27480.0,Lucas Alfonso Orbán Alegre,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.772
8f47ed55-2b61-49b9-9aed-41e0b147b952,2098,2,00:19:21.028,64,21,149,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,"['8b338357-7ff8-4cdf-84fc-803d0dbd49c3', 'abfd8daf-b630-492f-82d6-9092682923ea']",,"[81.2, 75.3]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.028
f99bf672-9425-41e3-8f0b-8c1a50f2d232,2099,2,00:19:21.028,64,21,149,0.69638,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['26f0413c-3ec1-43e9-b53a-6bbc1df48354', '8b338357-7ff8-4cdf-84fc-803d0dbd49c3']",,"[81.0, 74.8]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,6.5,3.1415927,2.0,Low Pass,"[74.5, 74.8]",38.0,Left Foot,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.028
26f0413c-3ec1-43e9-b53a-6bbc1df48354,2100,2,00:19:21.724,64,21,149,0.0,2,Ball Recovery,322,Eibar,4,From Throw In,221,Levante UD,,,['f99bf672-9425-41e3-8f0b-8c1a50f2d232'],,"[45.6, 5.3]",26211.0,Joan Verdú Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.724
95622822-57bf-40cd-b82a-22bd37e13f0d,2101,2,00:19:21.724,64,21,149,0.189486,43,Carry,322,Eibar,4,From Throw In,221,Levante UD,,,"['26f0413c-3ec1-43e9-b53a-6bbc1df48354', '6d930224-8659-40c4-9338-e0fb81bca4c5', '83a9be47-8de1-4a83-89a5-1021661f840c']",,"[45.6, 5.3]",26211.0,Joan Verdú Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,"[41.6, 2.5]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.724
83a9be47-8de1-4a83-89a5-1021661f840c,2102,2,00:19:21.861,64,21,149,0.312975,17,Pressure,322,Eibar,4,From Throw In,322,Eibar,,,"['6d930224-8659-40c4-9338-e0fb81bca4c5', '95622822-57bf-40cd-b82a-22bd37e13f0d']",,"[74.5, 74.8]",9462.0,José Ignacio Peleteiro Ramallo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.861
6d930224-8659-40c4-9338-e0fb81bca4c5,2103,2,00:19:21.913,64,21,149,1.493069,30,Pass,322,Eibar,4,From Throw In,221,Levante UD,,,"['83a9be47-8de1-4a83-89a5-1021661f840c', '95cf5125-b3ad-4d30-86a5-57295ac4abb4']",,"[41.6, 2.5]",26211.0,Joan Verdú Fernández,11.0,Left Defensive Midfield,6659.0,Víctor Camarasa Ferrando,6.2482,2.2655346,3.0,High Pass,"[37.6, 7.3]",40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.913
95cf5125-b3ad-4d30-86a5-57295ac4abb4,2104,2,00:19:23.406,64,23,149,,42,Ball Receipt*,322,Eibar,4,From Throw In,221,Levante UD,,,['6d930224-8659-40c4-9338-e0fb81bca4c5'],,"[37.6, 7.3]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.406
c1495ad8-9830-446c-8a1e-ae02c64129dc,2105,2,00:19:23.406,64,23,149,0.911666,43,Carry,322,Eibar,4,From Throw In,221,Levante UD,,,"['95cf5125-b3ad-4d30-86a5-57295ac4abb4', 'b9e5f3e9-161a-4a29-ab27-a688b8cdad35']",,"[37.6, 7.3]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,,,,,,,,,,,,"[39.1, 8.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.406
b9e5f3e9-161a-4a29-ab27-a688b8cdad35,2106,2,00:19:24.318,64,24,149,0.198403,30,Pass,322,Eibar,4,From Throw In,221,Levante UD,,,"['8371eab1-ce6b-4108-8f6b-64950868adb7', 'ebfa60f3-d777-4f2f-9c66-bf0828dce776']",,"[39.1, 8.2]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,26211.0,Joan Verdú Fernández,3.3136084,0.09065989,1.0,Ground Pass,"[42.4, 8.5]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.318
