id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,counterpress,pass_cross,pass_cut_back,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,clearance_head,clearance_aerial_won,miscontrol_aerial_won,foul_won_defensive,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,shot_first_time,pass_inswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,dribble_nutmeg,shot_one_on_one,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,shot_open_goal,shot_redirect,pass_goal_assist,shot_deflected,block_deflection,timestamp_seconds
672156b3-775d-4d1d-8c9a-a211e5eecd0a,2675,2,00:43:02.729,88,2,210,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,['88025e3e-ce5b-49f1-b759-bb7d291455ce'],,"[94.9, 30.2]",27123.0,Jordi Xumetra Feliu,15.0,Left Center Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582.729
36c1b54f-5add-4f61-9c90-39c2722c6666,2676,2,00:43:02.729,88,2,210,0.0,10,Interception,221,Levante UD,3,From Free Kick,207,Valencia,,,['88025e3e-ce5b-49f1-b759-bb7d291455ce'],,"[28.1, 48.2]",27482.0,Aderllan Leandro de Jesus Santos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582.729
6cde78d0-a13d-4832-ab7e-e11f47aa8878,2677,2,00:43:04.359,88,4,211,0.0,2,Ball Recovery,207,Valencia,1,Regular Play,207,Valencia,,,,,"[42.0, 53.6]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584.359
fc4c8c5b-a755-4305-92f7-f22048cabfcc,2678,2,00:43:04.359,88,4,211,3.112079,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['6cde78d0-a13d-4832-ab7e-e11f47aa8878', '813a53ae-d584-4fee-9c31-39c1fe753ae6']",,"[42.0, 53.6]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,"[63.9, 52.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584.359
813a53ae-d584-4fee-9c31-39c1fe753ae6,2679,2,00:43:07.471,88,7,211,1.830595,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['80a2b8fb-ae22-4d0b-b1e3-4674635e69e2'],,"[63.9, 52.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,18724.0,Sofiane Feghouli,31.394903,0.69066,1.0,Ground Pass,"[88.1, 72.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587.471
80a2b8fb-ae22-4d0b-b1e3-4674635e69e2,2680,2,00:43:09.302,88,9,211,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['813a53ae-d584-4fee-9c31-39c1fe753ae6'],,"[88.1, 72.0]",18724.0,Sofiane Feghouli,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589.302
28f3d720-2d5a-4bca-9904-3528cd0969cc,2681,2,00:43:09.302,88,9,211,3.273589,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['80a2b8fb-ae22-4d0b-b1e3-4674635e69e2', 'a22f4a6c-dad3-4eca-b006-160ce4d99579']",,"[88.1, 72.0]",18724.0,Sofiane Feghouli,17.0,Right Wing,,,,,,,,,,,,"[96.0, 69.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589.302
a22f4a6c-dad3-4eca-b006-160ce4d99579,2682,2,00:43:12.576,88,12,211,3.234299,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['efe013e9-1607-4015-8f4b-f104ea9b1864'],,"[96.0, 69.1]",18724.0,Sofiane Feghouli,17.0,Right Wing,6725.0,Zakaria Bakkali,50.92151,-1.2676772,3.0,High Pass,"[111.2, 20.5]",,,40.0,Right Foot,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592.576
efe013e9-1607-4015-8f4b-f104ea9b1864,2683,2,00:43:15.810,88,15,211,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['a22f4a6c-dad3-4eca-b006-160ce4d99579'],,"[111.2, 20.5]",6725.0,Zakaria Bakkali,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.81
0b52bb79-4aeb-4eac-bb32-dce64e0e4500,2684,2,00:43:15.810,88,15,211,3.973601,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['99330087-2f18-408c-991f-247c1608c917', 'efe013e9-1607-4015-8f4b-f104ea9b1864']",,"[111.2, 20.5]",6725.0,Zakaria Bakkali,21.0,Left Wing,,,,,,,,,,,,"[111.2, 20.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.81
