id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_won_defensive,pass_switch,clearance_aerial_won,clearance_left_foot,out,pass_cross,duel_outcome_id,duel_outcome_name,clearance_other,pass_inswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,block_offensive,dribble_outcome_id,dribble_outcome_name,pass_outswinging,goalkeeper_end_location,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,pass_cut_back,miscontrol_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_through_ball,dribble_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,dribble_nutmeg,timestamp_seconds
bf9236b4-2fde-47fa-bbe9-d53d26734717,781,1,00:20:15.922,20,15,48,0.330369,17,Pressure,322,Eibar,1,Regular Play,360,Rayo Vallecano,,,"['167150a2-b110-4b08-8837-5551d11c0088', '8448eb11-19c1-4efd-b9fb-b672216a1bec']",,"[73.1, 33.0]",10727.0,Răzvan Dincă Raț,6.0,Left Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.922
8448eb11-19c1-4efd-b9fb-b672216a1bec,782,1,00:20:16.113,20,16,48,3.575036,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['bf9236b4-2fde-47fa-bbe9-d53d26734717', 'c9c2f7d1-e5b9-425d-afdb-969384f1fd2f']",,"[43.4, 47.6]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,6566.0,Borja González Tomás,46.481396,0.635756,2.0,Low Pass,"[80.8, 75.2]",38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.113
c9c2f7d1-e5b9-425d-afdb-969384f1fd2f,783,1,00:20:19.688,20,19,48,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['8448eb11-19c1-4efd-b9fb-b672216a1bec'],,"[80.8, 75.2]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.688
92e1cf18-dacc-4662-af99-939e29c481aa,784,1,00:20:19.688,20,19,48,3.487603,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['c9c2f7d1-e5b9-425d-afdb-969384f1fd2f', 'd6b2d3c1-f575-4abf-a1ec-0b56064345fd']",,"[80.8, 75.2]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,"[110.9, 67.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.688
d6b2d3c1-f575-4abf-a1ec-0b56064345fd,785,1,00:20:23.176,20,23,48,0.965894,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['8891b992-9d76-4418-80a2-d3c4f3fb50e1', 'de88b509-c1f3-4a91-a9ac-167a3da29f9d']",,"[110.9, 67.1]",6566.0,Borja González Tomás,23.0,Center Forward,24070.0,Saúl Berjón Pérez,20.341583,-1.5068443,2.0,Low Pass,"[112.2, 46.8]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.176
8891b992-9d76-4418-80a2-d3c4f3fb50e1,786,1,00:20:24.142,20,24,48,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['d6b2d3c1-f575-4abf-a1ec-0b56064345fd'],,"[110.1, 43.8]",24070.0,Saúl Berjón Pérez,21.0,Left Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.142
de88b509-c1f3-4a91-a9ac-167a3da29f9d,787,1,00:20:24.142,20,24,48,0.0,9,Clearance,322,Eibar,1,Regular Play,360,Rayo Vallecano,,,['d6b2d3c1-f575-4abf-a1ec-0b56064345fd'],,"[7.9, 33.3]",6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.142
1466e472-c2aa-4f05-8ca6-6818892109c5,788,1,00:20:24.576,20,24,48,0.0,25,Own Goal For,322,Eibar,1,Regular Play,322,Eibar,,,['9b594392-cd74-43fa-8db4-a1457bc06b44'],,"[113.4, 46.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.576
9b594392-cd74-43fa-8db4-a1457bc06b44,789,1,00:20:24.576,20,24,48,0.0,20,Own Goal Against,322,Eibar,1,Regular Play,360,Rayo Vallecano,,,['1466e472-c2aa-4f05-8ca6-6818892109c5'],,"[6.7, 33.6]",6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.576
959dc124-ce95-4817-afc1-2bd2e39f61fb,790,1,00:21:09.518,21,9,49,0.873071,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['61dc82d6-cdb1-4499-ac6a-5728bd98c65b'],True,"[60.0, 40.0]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,26607.0,José Raúl Baena Urdiales,14.698639,-3.0256763,1.0,Ground Pass,"[45.4, 38.3]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.518
61dc82d6-cdb1-4499-ac6a-5728bd98c65b,791,1,00:21:10.391,21,10,49,,42,Ball Receipt*,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['959dc124-ce95-4817-afc1-2bd2e39f61fb'],,"[45.4, 38.3]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.391
76a01491-fe03-4724-bf50-f82a0737da39,792,1,00:21:17.094,21,17,49,1.116502,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['206a6a8e-f746-469c-a5ed-d80d45a4dc3f'],True,"[45.4, 38.3]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,10727.0,Răzvan Dincă Raț,35.784073,-1.0533834,1.0,Ground Pass,"[63.1, 7.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.094
206a6a8e-f746-469c-a5ed-d80d45a4dc3f,793,1,00:21:18.210,21,18,49,,42,Ball Receipt*,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['76a01491-fe03-4724-bf50-f82a0737da39'],,"[63.1, 7.2]",10727.0,Răzvan Dincă Raț,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.21
e576ad2c-5b2e-4827-9444-3e15f3fdeb76,794,1,00:21:21.656,21,21,49,1.261412,30,Pass,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['dde3cea9-31d7-4c9c-b935-fc1233ce79a1'],,"[63.1, 7.2]",10727.0,Răzvan Dincă Raț,6.0,Left Back,26222.0,José Eduardo Rosa Vale de Castro,16.429546,2.464,1.0,Ground Pass,"[50.3, 17.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281.656
dde3cea9-31d7-4c9c-b935-fc1233ce79a1,795,1,00:21:22.917,21,22,49,,42,Ball Receipt*,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,['e576ad2c-5b2e-4827-9444-3e15f3fdeb76'],,"[50.3, 17.5]",26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.917
d9257676-5ca9-43b4-947d-26befa867c9c,796,1,00:21:22.917,21,22,49,1.672201,43,Carry,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,"['0e37c2ca-e549-4b75-9922-601e51eac136', 'a20a62b3-53e2-4eef-9341-5aeca2c5230e', 'dde3cea9-31d7-4c9c-b935-fc1233ce79a1']",,"[50.3, 17.5]",26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,,,,,,,,,,,,True,"[55.1, 8.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.917
0e37c2ca-e549-4b75-9922-601e51eac136,797,1,00:21:23.537,21,23,49,1.133692,17,Pressure,360,Rayo Vallecano,9,From Kick Off,322,Eibar,,,"['a20a62b3-53e2-4eef-9341-5aeca2c5230e', 'd9257676-5ca9-43b4-947d-26befa867c9c']",,"[67.6, 63.2]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.537
