id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,out,pass_aerial_won,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,pass_miscommunication,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,pass_switch,clearance_right_foot,foul_won_defensive,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_deflected,foul_committed_offensive,shot_first_time,clearance_left_foot,dribble_overrun,miscontrol_aerial_won,foul_committed_type_id,foul_committed_type_name,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,pass_technique_id,pass_technique_name,pass_through_ball,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_inswinging,goalkeeper_punched_out,timestamp_seconds
595ecdf0-13f5-4b57-ac96-23f469b2a224,2122,2,00:03:21.471,48,21,108,0.0,4,Duel,222,Villarreal,1,Regular Play,222,Villarreal,,,['13759d35-94b4-4b46-844c-26a1a13ae72e'],"[32.6, 40.4]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,11.0,Tackle,,,,,True,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.471
0a185a04-246e-427c-b3d0-ef929d532481,2123,2,00:03:26.456,48,26,108,1.018086,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['c2382355-33c3-4638-8155-8059050c617a'],"[8.7, 44.0]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,6752.0,Víctor Ruíz Torre,17.173527,-1.2324727,1.0,Ground Pass,"[14.4, 27.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.456
c2382355-33c3-4638-8155-8059050c617a,2124,2,00:03:27.474,48,27,108,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['0a185a04-246e-427c-b3d0-ef929d532481'],"[14.4, 27.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.474
70751cf7-9b93-4b86-8552-09eb4f7919c2,2125,2,00:03:29.036,48,29,108,1.175829,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['ddbbe676-df6d-4c30-b1ce-8b418439357e'],"[16.6, 26.7]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,6828.0,Jaume Vicent Costa Jordá,10.538027,-0.80552965,1.0,Ground Pass,"[23.9, 19.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.036
ddbbe676-df6d-4c30-b1ce-8b418439357e,2126,2,00:03:30.212,48,30,108,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['70751cf7-9b93-4b86-8552-09eb4f7919c2'],"[23.9, 19.1]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.212
eb2f1c89-8a21-480d-a42e-b7ac98e4f33d,2127,2,00:03:31.637,48,31,108,0.972346,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['e8d41295-be44-4018-8fab-4ddf3cc280ca'],"[28.1, 11.9]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,6752.0,Víctor Ruíz Torre,8.861715,2.2843184,1.0,Ground Pass,"[22.3, 18.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.637
e8d41295-be44-4018-8fab-4ddf3cc280ca,2128,2,00:03:32.609,48,32,108,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['eb2f1c89-8a21-480d-a42e-b7ac98e4f33d'],"[22.3, 18.6]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.609
be8d4af9-5d41-4d48-87f3-3d4124a2fe01,2129,2,00:03:35.187,48,35,108,2.983383,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['e221c509-2b6a-47f7-abcd-4ac0aaa0b721'],"[22.3, 18.6]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,26009.0,Roberto Soldado Rillo,54.38943,0.35489723,3.0,High Pass,"[73.3, 37.5]",38.0,Left Foot,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.187
e221c509-2b6a-47f7-abcd-4ac0aaa0b721,2130,2,00:03:38.171,48,38,108,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['be8d4af9-5d41-4d48-87f3-3d4124a2fe01'],"[73.6, 35.7]",26009.0,Roberto Soldado Rillo,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.171
70caab20-b7c0-4d41-8189-0f542493cb0c,2131,2,00:03:38.171,48,38,108,0.0,22,Foul Committed,222,Villarreal,1,Regular Play,212,Atlético Madrid,,,['a16d1120-c7ec-4c61-b8e9-fd8f0cc6eda5'],"[48.4, 44.3]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.171
