id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_left_foot,pass_switch,pass_technique_id,pass_technique_name,pass_outswinging,shot_aerial_won,dribble_outcome_id,dribble_outcome_name,clearance_head,shot_first_time,pass_inswinging,pass_cut_back,pass_through_ball,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,dribble_overrun,clearance_aerial_won,50_50_outcome_id,50_50_outcome_name,shot_open_goal,pass_goal_assist,ball_recovery_recovery_failure,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,pass_no_touch,dribble_nutmeg,timestamp_seconds
4f887c5a-616f-4d8d-aaa8-1c3165febb6e,3756,2,00:34:23.539,79,23,166,2.062058,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['e708feba-dfaf-4344-bb09-8596b5916f30'],"[6.0, 44.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,16622.0,Mikel González de Martín Martínez,22.663847,1.4957165,1.0,Ground Pass,"[7.7, 66.6]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.539
e708feba-dfaf-4344-bb09-8596b5916f30,3757,2,00:34:25.601,79,25,166,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['4f887c5a-616f-4d8d-aaa8-1c3165febb6e'],"[7.7, 66.6]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065.601
3efc438c-e98c-4bf7-820e-792042ba66e9,3758,2,00:34:27.110,79,27,166,1.191948,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['67cd590b-4657-4a81-8374-425b4ebdbae3'],"[11.5, 64.8]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,6694.0,Gerónimo Rulli,15.698407,-2.165866,1.0,Ground Pass,"[2.7, 51.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.11
8ef5b8a2-da7f-4848-9c89-a0a8af385563,3759,2,00:34:28.087,79,28,166,1.481219,17,Pressure,210,Real Sociedad,7,From Goal Kick,212,Atlético Madrid,,,"['39e360a7-e788-4648-a536-dc7dfa268706', '67cd590b-4657-4a81-8374-425b4ebdbae3', '9caaadae-1a06-4c9d-b7ed-cbf1a815ce7f']","[113.3, 24.9]",6377.0,Ángel Martín Correa,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.087
67cd590b-4657-4a81-8374-425b4ebdbae3,3760,2,00:34:28.302,79,28,166,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['3efc438c-e98c-4bf7-820e-792042ba66e9', '8ef5b8a2-da7f-4848-9c89-a0a8af385563']","[2.7, 51.8]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.302
9caaadae-1a06-4c9d-b7ed-cbf1a815ce7f,3761,2,00:34:28.302,79,28,166,1.088396,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['39e360a7-e788-4648-a536-dc7dfa268706', '67cd590b-4657-4a81-8374-425b4ebdbae3', '8ef5b8a2-da7f-4848-9c89-a0a8af385563']","[2.7, 51.8]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,"[2.5, 51.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.302
39e360a7-e788-4648-a536-dc7dfa268706,3762,2,00:34:29.391,79,29,166,1.463969,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['8ef5b8a2-da7f-4848-9c89-a0a8af385563', 'c0d81eca-0c54-4b6e-8847-91154e082056']","[2.5, 51.8]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,16622.0,Mikel González de Martín Martínez,22.709469,1.2295496,2.0,Low Pass,"[10.1, 73.2]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.391
c0d81eca-0c54-4b6e-8847-91154e082056,3763,2,00:34:30.855,79,30,166,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['39e360a7-e788-4648-a536-dc7dfa268706'],"[10.1, 73.2]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.855
4802a804-60f1-4148-aa37-2b2b43a42abd,3764,2,00:34:30.855,79,30,166,4.705678,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['1fc564b7-4c27-49db-bf08-97fe6e2149dc', 'c0d81eca-0c54-4b6e-8847-91154e082056']","[10.1, 73.2]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,,,,,,,,,,,,"[25.2, 59.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.855
1fc564b7-4c27-49db-bf08-97fe6e2149dc,3765,2,00:34:35.560,79,35,166,1.283549,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['11134ae1-27fa-46c0-8894-35310719acf9', '7649d162-d81e-44db-aca5-810f688bf088']","[25.2, 59.0]",16622.0,Mikel González de Martín Martínez,3.0,Right Center Back,5560.0,Carlos Alberto Vela Garrido,23.860638,-0.071307465,1.0,Ground Pass,"[49.0, 57.3]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.56
11134ae1-27fa-46c0-8894-35310719acf9,3766,2,00:34:36.844,79,36,166,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['1fc564b7-4c27-49db-bf08-97fe6e2149dc'],"[53.3, 48.3]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.844
7649d162-d81e-44db-aca5-810f688bf088,3767,2,00:34:36.844,79,36,167,0.0,10,Interception,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['1fc564b7-4c27-49db-bf08-97fe6e2149dc'],"[71.1, 22.8]",6381.0,Saúl Ñíguez Esclapez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.844
