id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_outcome_id,pass_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,clearance_right_foot,pass_no_touch,pass_miscommunication,pass_cut_back,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,clearance_aerial_won,pass_inswinging,ball_recovery_recovery_failure,dribble_overrun,pass_outswinging,dribble_no_touch,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,half_end_early_video_end,timestamp_seconds
746faf42-f9d9-49ea-b54e-ae2269a79267,686,1,00:14:01.689,14,1,33,0.612572,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['4585762a-1528-44c5-90d9-cf82680963f0', '6335c2a3-8734-4f14-b116-09a3a29ae967', 'b5f734d4-e1e9-499d-8b20-82acb89e5307', 'f65c32c2-932b-4b0c-9d2e-45a88162457e']","[80.0, 3.5]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,"[77.2, 4.3]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.689
f65c32c2-932b-4b0c-9d2e-45a88162457e,687,1,00:14:02.301,14,2,33,0.0,22,Foul Committed,217,Barcelona,4,From Throw In,207,Valencia,,,"['6335c2a3-8734-4f14-b116-09a3a29ae967', '746faf42-f9d9-49ea-b54e-ae2269a79267']","[42.9, 75.8]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,,,,842.301
6335c2a3-8734-4f14-b116-09a3a29ae967,688,1,00:14:02.301,14,2,33,0.0,21,Foul Won,217,Barcelona,4,From Throw In,217,Barcelona,,,['f65c32c2-932b-4b0c-9d2e-45a88162457e'],"[77.2, 4.3]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.301
22d4d228-b01a-43d7-9446-34319eb32e08,689,1,00:14:42.097,14,42,34,0.497723,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['0fb4feb3-ce30-44e9-b95c-9c3ceb407363'],"[74.5, 9.6]",5211.0,Jordi Alba Ramos,6.0,Left Back,5213.0,Gerard Piqué Bernabéu,48.2912,1.9305365,1.0,Ground Pass,"[57.5, 54.8]",38.0,Left Foot,62.0,Free Kick,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.097
0fb4feb3-ce30-44e9-b95c-9c3ceb407363,690,1,00:14:42.595,14,42,34,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['22d4d228-b01a-43d7-9446-34319eb32e08'],"[57.5, 54.8]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.595
a57a47af-ec23-40f5-9f74-7d194a3596e2,691,1,00:14:44.730,14,44,34,1.59473,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['797df17a-7b36-4e9d-b9d7-4c355d28fe8d'],"[65.7, 51.0]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5503.0,Lionel Andrés Messi Cuccittini,28.970503,0.90036803,1.0,Ground Pass,"[83.7, 73.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.73
797df17a-7b36-4e9d-b9d7-4c355d28fe8d,692,1,00:14:46.324,14,46,34,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['a57a47af-ec23-40f5-9f74-7d194a3596e2'],"[83.7, 73.7]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.324
04b7deca-c8f1-4060-84dc-1dbb9f2b234a,693,1,00:14:46.324,14,46,34,2.30237,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['4375cadf-bf82-419d-a425-82e81a07fc77', '797df17a-7b36-4e9d-b9d7-4c355d28fe8d']","[83.7, 73.7]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[86.7, 67.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.324
4375cadf-bf82-419d-a425-82e81a07fc77,694,1,00:14:48.627,14,48,34,1.17345,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['442936f1-8648-4f88-a707-eb49dd77aa90'],"[86.7, 67.0]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,6379.0,Sergi Roberto Carnicer,9.585405,2.733961,1.0,Ground Pass,"[77.9, 70.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.627
6ead8671-1b50-45d6-bf4d-a4102d47e9d4,695,1,00:14:49.412,14,49,34,1.382491,17,Pressure,217,Barcelona,3,From Free Kick,207,Valencia,,,"['1760194e-2494-4980-b119-428008d1f758', '442936f1-8648-4f88-a707-eb49dd77aa90', '9a1cb26b-d3c0-42fc-9ae3-86482d0be5ff']","[39.3, 14.2]",10802.0,André Filipe Tavares Gomes,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.412
