id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,counterpress,out,dribble_outcome_id,dribble_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,pass_switch,pass_aerial_won,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,clearance_left_foot,interception_outcome_id,interception_outcome_name,pass_no_touch,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_technique_id,pass_technique_name,shot_aerial_won,dribble_overrun,ball_recovery_recovery_failure,pass_cut_back,shot_first_time,dribble_nutmeg,clearance_right_foot,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_inswinging,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,pass_goal_assist,timestamp_seconds
eaf40011-dfe0-4607-a779-2550846b1d6f,360,1,00:07:27.280,7,27,22,0.326783,17,Pressure,220,Real Madrid,1,Regular Play,210,Real Sociedad,,,,"[81.5, 20.7]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.28
a6a3973c-968d-4f48-86e3-50c6fe33f4e8,361,1,00:07:28.769,7,28,22,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['f5bb88c3-fff9-41a7-9966-ca3436518f3b'],"[30.2, 59.4]",5485.0,Raphaël Varane,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.769
33867171-c38b-41c8-926c-629bba9db430,362,1,00:07:28.769,7,28,22,2.541694,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['5bc20a1b-2986-4c03-ba64-7c7ac2ace6a4', 'a6a3973c-968d-4f48-86e3-50c6fe33f4e8']","[30.2, 59.4]",5485.0,Raphaël Varane,3.0,Right Center Back,,,,,,,,,,,,"[25.8, 53.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.769
5bc20a1b-2986-4c03-ba64-7c7ac2ace6a4,363,1,00:07:31.311,7,31,22,1.74115,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['a7525518-4480-401a-b9ef-90397e341098'],"[25.8, 53.5]",5485.0,Raphaël Varane,3.0,Right Center Back,5201.0,Sergio Ramos García,32.709785,-1.5952563,1.0,Ground Pass,"[25.0, 20.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.311
a7525518-4480-401a-b9ef-90397e341098,364,1,00:07:33.052,7,33,22,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['5bc20a1b-2986-4c03-ba64-7c7ac2ace6a4'],"[25.0, 20.8]",5201.0,Sergio Ramos García,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.052
f00e26ef-94a2-4860-94ce-081b9b7a071d,365,1,00:07:33.052,7,33,22,3.51661,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['a7525518-4480-401a-b9ef-90397e341098', 'b2c9fd91-ae8c-4833-9a59-99c96a760a82']","[25.0, 20.8]",5201.0,Sergio Ramos García,5.0,Left Center Back,,,,,,,,,,,,"[12.5, 18.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.052
b2c9fd91-ae8c-4833-9a59-99c96a760a82,366,1,00:07:36.569,7,36,22,1.455195,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['fd979c20-9263-4599-afc4-cce8a4e66025'],"[12.5, 18.2]",5201.0,Sergio Ramos García,5.0,Left Center Back,5539.0,Carlos Henrique Casimiro,17.293062,0.4041325,1.0,Ground Pass,"[28.4, 25.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.569
fd979c20-9263-4599-afc4-cce8a4e66025,367,1,00:07:38.024,7,38,22,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['b2c9fd91-ae8c-4833-9a59-99c96a760a82'],"[28.4, 25.0]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.024
9d16b578-cbe8-45a4-97c9-bd03a03b31ca,368,1,00:07:38.024,7,38,22,6.147793,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['4aa02ec7-1134-4d71-b21f-fe55b9193d33', 'fd979c20-9263-4599-afc4-cce8a4e66025']","[28.4, 25.0]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,"[48.0, 32.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.024
4aa02ec7-1134-4d71-b21f-fe55b9193d33,369,1,00:07:44.172,7,44,22,1.750587,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['c70a29b8-f96d-47cc-8f82-c231e077da73'],"[48.0, 32.1]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,5463.0,Luka Modrić,20.308865,1.467208,1.0,Ground Pass,"[50.1, 52.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.172
