id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,out,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_aerial_won,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,pass_through_ball,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,block_deflection,dribble_overrun,clearance_head,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,pass_deflected,pass_cut_back,clearance_aerial_won,shot_first_time,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,foul_won_defensive,pass_no_touch,timestamp_seconds
8ae90ce8-05d2-4bda-a6a9-e48f580458e9,748,1,00:14:51.153,14,51,27,0.987399,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['b1bc9a70-9992-4d37-b25d-0721c610ed6d'],"[36.6, 45.5]",3638.0,Shkodran Mustafi,3.0,Right Center Back,6751.0,Javier Fuego Martínez,20.649456,-0.15559483,1.0,Ground Pass,"[57.0, 42.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.153
b1bc9a70-9992-4d37-b25d-0721c610ed6d,749,1,00:14:52.140,14,52,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['8ae90ce8-05d2-4bda-a6a9-e48f580458e9'],"[57.0, 42.3]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.14
05edf599-f968-4ccb-a56d-7506d554064a,750,1,00:14:52.140,14,52,27,0.035646003,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['49d773b5-b183-4926-97f4-755c5be11379', 'b1bc9a70-9992-4d37-b25d-0721c610ed6d']","[57.0, 42.3]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,,,,,,,,,,,,"[57.0, 42.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.14
49d773b5-b183-4926-97f4-755c5be11379,751,1,00:14:52.176,14,52,27,1.75501,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['549a5ccf-b9bf-4412-be9e-2de75affbd53'],"[57.0, 42.3]",6751.0,Javier Fuego Martínez,10.0,Center Defensive Midfield,3638.0,Shkodran Mustafi,16.734396,2.7100196,1.0,Ground Pass,"[41.8, 49.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.176
549a5ccf-b9bf-4412-be9e-2de75affbd53,752,1,00:14:53.931,14,53,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['49d773b5-b183-4926-97f4-755c5be11379'],"[41.8, 49.3]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.931
96bfba8b-ee09-409d-aa1b-ac7eb257f756,753,1,00:14:53.931,14,53,27,3.989047,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['549a5ccf-b9bf-4412-be9e-2de75affbd53', '66f2b8db-8923-4f67-a90f-dc023eaf1d96']","[41.8, 49.3]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,"[55.9, 52.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.931
66f2b8db-8923-4f67-a90f-dc023eaf1d96,754,1,00:14:57.920,14,57,27,0.860769,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['77024f6a-e741-464d-ad24-21ad2710920b'],"[55.9, 52.1]",3638.0,Shkodran Mustafi,3.0,Right Center Back,6595.0,Daniel Parejo Muñoz,11.696581,1.4421996,1.0,Ground Pass,"[57.4, 63.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.92
77024f6a-e741-464d-ad24-21ad2710920b,755,1,00:14:58.781,14,58,27,,42,Ball Receipt*,207,Valencia,9,From Kick Off,207,Valencia,,,['66f2b8db-8923-4f67-a90f-dc023eaf1d96'],"[57.4, 63.7]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.781
bc2231ea-0f80-470d-88a5-7579d0f8720f,756,1,00:14:58.781,14,58,27,1.687693,43,Carry,207,Valencia,9,From Kick Off,207,Valencia,,,"['77024f6a-e741-464d-ad24-21ad2710920b', '89a71665-2913-4d5d-9826-d0703c3f36b2']","[57.4, 63.7]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,"[63.4, 62.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.781
89a71665-2913-4d5d-9826-d0703c3f36b2,757,1,00:15:00.468,15,0,27,1.557031,30,Pass,207,Valencia,9,From Kick Off,207,Valencia,,,['cf65c580-16b7-4790-bed0-41ca02abec24'],"[63.4, 62.8]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,7005.0,João Pedro Cavaco Cancelo,15.03762,1.1458199,3.0,High Pass,"[69.6, 76.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.468
