id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,carry_end_location,duel_outcome_id,duel_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_right_foot,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,injury_stoppage_in_chain,dribble_nutmeg,pass_cut_back,shot_first_time,ball_recovery_recovery_failure,clearance_left_foot,pass_no_touch,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_outswinging,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_inswinging,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,shot_saved_to_post,goalkeeper_shot_saved_to_post,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,block_offensive,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,timestamp_seconds
bf2e2dbe-385b-4fb8-9863-4feb0c6e93f9,1852,2,00:02:37.832,47,37,110,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['8de62e43-7e69-4cce-b8c3-46771aca3961'],,"[66.6, 9.6]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.832
6f9bc252-0cfe-4e7f-8db9-a84ea9079f9d,1853,2,00:02:37.832,47,37,110,4.648021,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['3edc6e16-48f8-4428-b0f7-cc12810d31d5', 'bf2e2dbe-385b-4fb8-9863-4feb0c6e93f9', 'eca1cabb-45cf-4fc5-a4ba-6f88a1be8f28']",,"[66.6, 9.6]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,,,,,,,,,,,,,True,,,,,,,,"[45.6, 6.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.832
eca1cabb-45cf-4fc5-a4ba-6f88a1be8f28,1854,2,00:02:39.292,47,39,110,1.867032,17,Pressure,214,Espanyol,1,Regular Play,213,Sevilla,,,['6f9bc252-0cfe-4e7f-8db9-a84ea9079f9d'],,"[56.1, 69.9]",6672.0,Jorge Andújar Moreno,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.292
3edc6e16-48f8-4428-b0f7-cc12810d31d5,1855,2,00:02:42.480,47,42,110,1.938683,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['ddd1b311-00a3-4e96-8595-b8cda9c7941e'],,"[45.6, 6.4]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,34.856995,0.36985147,3.0,High Pass,"[78.1, 19.0]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48
ddd1b311-00a3-4e96-8595-b8cda9c7941e,1856,2,00:02:44.419,47,44,111,1.260921,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3edc6e16-48f8-4428-b0f7-cc12810d31d5', '75064a89-8d01-4a73-a231-ac417e99898f']",,"[42.0, 61.1]",10881.0,Diogo José Rosário Gomes Figueiras,2.0,Right Back,6349.0,Federico Julián Fazio,19.838598,-1.9260272,3.0,High Pass,"[35.1, 42.5]",37.0,Head,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.41899999999998
75064a89-8d01-4a73-a231-ac417e99898f,1857,2,00:02:45.680,47,45,111,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['ddd1b311-00a3-4e96-8595-b8cda9c7941e'],,"[35.1, 42.5]",6349.0,Federico Julián Fazio,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.68
5ef07d86-dd73-4885-96a0-1ceb5714b975,1858,2,00:02:45.680,47,45,111,1.105968,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['3052bce7-2775-4e34-a9dd-830ea7b1a8a8'],,"[35.1, 42.7]",6349.0,Federico Julián Fazio,5.0,Left Center Back,7154.0,Sebastián Carlos Cristóforo Pepe,9.265528,0.11900029,1.0,Ground Pass,"[44.3, 43.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.68
3052bce7-2775-4e34-a9dd-830ea7b1a8a8,1859,2,00:02:46.786,47,46,111,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['5ef07d86-dd73-4885-96a0-1ceb5714b975'],,"[44.3, 43.8]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.786
2d456c5d-8b83-4dd4-ada0-08681de943b9,1860,2,00:02:46.786,47,46,111,0.233444,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3052bce7-2775-4e34-a9dd-830ea7b1a8a8', 'f53e27ba-e8d6-436e-bc36-17357859f375']",,"[44.3, 43.8]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,"[44.3, 43.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.786
f53e27ba-e8d6-436e-bc36-17357859f375,1861,2,00:02:47.019,47,47,111,1.718192,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['87072b89-dcc4-4608-aa7c-aeb878cf08e2'],,"[44.3, 43.4]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,3497.0,Vicente Iborra De La Fuente,19.35071,-0.8548832,1.0,Ground Pass,"[57.0, 28.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.019
