id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,counterpress,pass_switch,out,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,pass_cross,shot_first_time,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,clearance_right_foot,pass_inswinging,pass_outswinging,clearance_aerial_won,clearance_head,shot_saved_off_target,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,pass_goal_assist,miscontrol_aerial_won,dribble_overrun,foul_committed_offensive,shot_one_on_one,ball_recovery_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,block_offensive,pass_straight,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,shot_open_goal,timestamp_seconds
69179aa4-cd2b-401a-bf29-b38280543c6f,1682,1,00:41:19.468,41,19,79,0.0,3,Dispossessed,207,Valencia,6,From Counter,207,Valencia,,,['90b197c6-12b4-41e2-bcae-0d6ba0506e7d'],"[73.0, 50.6]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2479.468
90b197c6-12b4-41e2-bcae-0d6ba0506e7d,1683,1,00:41:19.468,41,19,80,0.0,4,Duel,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['69179aa4-cd2b-401a-bf29-b38280543c6f'],"[47.1, 29.5]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,11.0,Tackle,,,True,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2479.468
a410db09-1d7b-429c-9978-004af4073dcf,1684,1,00:41:21.815,41,21,80,0.0,2,Ball Recovery,220,Real Madrid,1,Regular Play,220,Real Madrid,,,,"[36.8, 14.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481.815
4d3a2e26-553b-43ed-83f4-94885765c230,1685,1,00:41:21.815,41,21,80,0.946203,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['a410db09-1d7b-429c-9978-004af4073dcf', 'bd87b11e-64a6-4866-8e2f-2407c90b3f37']","[36.8, 14.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,"[36.8, 14.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481.815
bd87b11e-64a6-4866-8e2f-2407c90b3f37,1686,1,00:41:22.762,41,22,80,0.891552,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['7bb15a01-2025-4e60-b430-21abe6e5125f'],"[36.8, 14.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,5574.0,Toni Kroos,13.207574,0.5585993,1.0,Ground Pass,"[48.0, 21.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482.762
7bb15a01-2025-4e60-b430-21abe6e5125f,1687,1,00:41:23.653,41,23,80,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['bd87b11e-64a6-4866-8e2f-2407c90b3f37'],"[48.0, 21.3]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.653
e2b5a839-89a4-43f8-a7ed-84bc1873bd29,1688,1,00:41:23.653,41,23,80,1.229925,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['487ab9db-81f6-444a-91ef-29799866021c', '7bb15a01-2025-4e60-b430-21abe6e5125f', 'b3ddcc5e-8bfd-48a0-b47e-1c5e3b33ad4a']","[48.0, 21.3]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[39.8, 23.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.653
487ab9db-81f6-444a-91ef-29799866021c,1689,1,00:41:24.296,41,24,80,0.598756,17,Pressure,220,Real Madrid,1,Regular Play,207,Valencia,,,"['b3ddcc5e-8bfd-48a0-b47e-1c5e3b33ad4a', 'e2b5a839-89a4-43f8-a7ed-84bc1873bd29']","[73.9, 57.5]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.296
b3ddcc5e-8bfd-48a0-b47e-1c5e3b33ad4a,1690,1,00:41:24.883,41,24,80,3.179588,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['487ab9db-81f6-444a-91ef-29799866021c', 'f6e040da-7f99-4fa7-bd70-5245139d5704']","[39.8, 23.5]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,3063.0,Danilo Luiz da Silva,38.364178,1.8752362,1.0,Ground Pass,"[28.3, 60.1]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.883
f6e040da-7f99-4fa7-bd70-5245139d5704,1691,1,00:41:28.063,41,28,80,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['b3ddcc5e-8bfd-48a0-b47e-1c5e3b33ad4a'],"[28.3, 60.1]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488.063
