id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,foul_won_defensive,off_camera,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,interception_outcome_id,interception_outcome_name,out,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_outswinging,shot_aerial_won,clearance_head,clearance_aerial_won,pass_cross,clearance_right_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_straight,foul_committed_offensive,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_no_touch,shot_first_time,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,timestamp_seconds
30245e2f-5894-43fa-b89a-0982bce29fc4,1261,1,00:29:55.858,29,55,84,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['a17729b0-4d8a-463e-a20e-3ddfef03a2d7'],"[56.6, 62.3]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.858
c616fa8f-dcdb-42e1-b1ff-d7281e0991af,1262,1,00:29:55.858,29,55,84,0.941559,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['30245e2f-5894-43fa-b89a-0982bce29fc4', '3cd202be-74b6-4546-ba0b-dcd5507dcd58']","[56.6, 62.3]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,,,,,,,,,,,,"[56.6, 61.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.858
3cd202be-74b6-4546-ba0b-dcd5507dcd58,1263,1,00:29:56.799,29,56,84,0.0,38,Miscontrol,208,Las Palmas,1,Regular Play,208,Las Palmas,,,,"[56.6, 61.1]",6928.0,Pedro Taunausú Domínguez Placeres,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.799
5a68ca58-4d0d-42e0-8043-4d9a5bf7b59f,1264,1,00:29:57.019,29,57,84,0.0,2,Ball Recovery,208,Las Palmas,1,Regular Play,215,Athletic Club,,,,"[63.1, 19.0]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.019
3ac17ece-9ce5-4c07-9d3a-f4d0e256193a,1265,1,00:29:58.595,29,58,84,0.0,2,Ball Recovery,208,Las Palmas,1,Regular Play,208,Las Palmas,,,,"[57.0, 61.7]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.595
89977254-e05c-4a1d-99a9-54ff849ba17a,1266,1,00:29:58.595,29,58,84,1.463122,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['3ac17ece-9ce5-4c07-9d3a-f4d0e256193a', 'c8fef7d4-b447-40b1-9aee-d3f11b2e9bbf']","[57.0, 61.7]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,,,,,,,,,,,,"[55.7, 62.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.595
c8fef7d4-b447-40b1-9aee-d3f11b2e9bbf,1267,1,00:30:00.058,30,0,84,1.269234,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['27238427-9e50-4743-8fbd-3000cb074dbd'],"[55.7, 62.1]",15805.0,Hernán Daniel Santana Trujillo,11.0,Left Defensive Midfield,8440.0,Aythami Artiles Oliva,10.400481,-3.1319776,1.0,Ground Pass,"[45.3, 62.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.058
27238427-9e50-4743-8fbd-3000cb074dbd,1268,1,00:30:01.327,30,1,84,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['c8fef7d4-b447-40b1-9aee-d3f11b2e9bbf'],"[45.3, 62.0]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.327
16adc9ba-7411-4f9e-b4dc-c1a18b4190b6,1269,1,00:30:01.327,30,1,84,1.659276,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['27238427-9e50-4743-8fbd-3000cb074dbd', '6fa16996-ae4c-4042-95bf-e2cbca1ab7cc']","[45.3, 62.0]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,"[45.3, 62.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.327
6fa16996-ae4c-4042-95bf-e2cbca1ab7cc,1270,1,00:30:02.986,30,2,84,1.086952,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['02a1c90a-3005-4ce5-a13b-71f934bb02fd'],"[45.3, 62.0]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,10755.0,Jonathan Viera Ramos,32.2605,-0.9217156,1.0,Ground Pass,"[64.8, 36.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802.986
