id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,shot_first_time,off_camera,shot_one_on_one,out,clearance_aerial_won,clearance_head,block_deflection,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,foul_committed_advantage,foul_won_advantage,pass_cut_back,foul_won_defensive,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,pass_outswinging,dribble_overrun,foul_committed_type_id,foul_committed_type_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_deflected,pass_goal_assist,block_offensive,pass_no_touch,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,timestamp_seconds
934e3842-50e3-4f7e-8522-44ae06155df1,400,1,00:08:27.117,8,27,17,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['6c109816-1d31-4ee8-96b9-3a223e55f7f5'],"[88.6, 72.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.117
d06b2aa5-77a2-4b51-9d70-17aa92ced938,401,1,00:08:27.117,8,27,17,0.0473,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['7756a812-7fbf-4c0e-bf7f-dd75ee7e3270', '934e3842-50e3-4f7e-8522-44ae06155df1']","[88.6, 72.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[89.3, 71.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.117
7756a812-7fbf-4c0e-bf7f-dd75ee7e3270,402,1,00:08:27.164,8,27,17,0.5858,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['a0d54aa6-f98a-4878-8d38-2ece7191f071'],"[89.3, 71.6]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5216.0,Andrés Iniesta Luján,9.340771,-2.4852443,1.0,Ground Pass,"[81.9, 65.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.164
a0d54aa6-f98a-4878-8d38-2ece7191f071,403,1,00:08:27.750,8,27,17,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['7756a812-7fbf-4c0e-bf7f-dd75ee7e3270'],"[81.9, 65.9]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.75
2075dcff-3cec-449a-ad04-0ec80a489300,404,1,00:08:27.750,8,27,17,0.0757,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['77908a6e-0ef9-4ec2-aab5-db58367b123a', 'a0d54aa6-f98a-4878-8d38-2ece7191f071']","[81.9, 65.9]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,"[82.7, 66.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.75
77908a6e-0ef9-4ec2-aab5-db58367b123a,405,1,00:08:27.826,8,27,17,0.5522,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['0158edd3-4017-4f46-88a5-6f322068c9c2'],"[82.7, 66.5]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,4324.0,Daniel Alves da Silva,8.01561,1.6332152,1.0,Ground Pass,"[82.2, 74.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.826
0158edd3-4017-4f46-88a5-6f322068c9c2,406,1,00:08:28.378,8,28,17,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['77908a6e-0ef9-4ec2-aab5-db58367b123a'],"[82.2, 74.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.378
4ba156fa-b710-495b-88fb-b712c2e92c32,407,1,00:08:28.378,8,28,17,0.030100001,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['0158edd3-4017-4f46-88a5-6f322068c9c2', '72d728e4-46d2-4d97-89ba-80b87074b2a5']","[82.2, 74.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,"[82.1, 73.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.378
72d728e4-46d2-4d97-89ba-80b87074b2a5,408,1,00:08:28.408,8,28,17,0.7344,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['3a202139-d34e-4dbd-8336-f22bea0c89bb'],"[82.1, 73.6]",4324.0,Daniel Alves da Silva,2.0,Right Back,5203.0,Sergio Busquets i Burgos,11.729024,-0.68273014,1.0,Ground Pass,"[91.2, 66.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.408
3a202139-d34e-4dbd-8336-f22bea0c89bb,409,1,00:08:29.142,8,29,17,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['72d728e4-46d2-4d97-89ba-80b87074b2a5'],"[91.2, 66.2]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.142
