id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,interception_outcome_id,interception_outcome_name,pass_no_touch,counterpress,dribble_overrun,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,out,pass_switch,pass_deflected,block_deflection,shot_open_goal,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_key_pass_id,miscontrol_aerial_won,pass_straight,clearance_aerial_won,shot_aerial_won,foul_committed_advantage,foul_won_advantage,pass_inswinging,goalkeeper_punched_out,50_50_outcome_id,50_50_outcome_name,pass_outswinging,foul_won_defensive,pass_goal_assist,ball_recovery_recovery_failure,clearance_other,pass_cut_back,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_miscommunication,foul_committed_penalty,dribble_nutmeg,timestamp_seconds
ca0a3581-d8a5-41d0-8df9-486020eab337,1521,1,00:31:14.751,31,14,63,0.0,39,Dribbled Past,217,Barcelona,7,From Goal Kick,322,Eibar,,,"['0f09f8c7-c35d-4887-b3ef-07a11f1c8ab6', '764ad8ed-bfa1-4e87-a307-0e23f4f18d9b']","[25.8, 29.2]",24453.0,Josip Radošević,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.751
764ad8ed-bfa1-4e87-a307-0e23f4f18d9b,1522,1,00:31:14.751,31,14,63,0.0,14,Dribble,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['ca0a3581-d8a5-41d0-8df9-486020eab337'],"[94.3, 50.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.751
0f09f8c7-c35d-4887-b3ef-07a11f1c8ab6,1523,1,00:31:14.751,31,14,63,0.756701,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['764ad8ed-bfa1-4e87-a307-0e23f4f18d9b', 'ca0a3581-d8a5-41d0-8df9-486020eab337', 'f20ef003-6a16-4bda-bfbf-b88c91f9b365']","[94.3, 50.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[92.5, 46.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.751
f20ef003-6a16-4bda-bfbf-b88c91f9b365,1524,1,00:31:15.508,31,15,63,1.8087,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['5cca240a-d26b-408e-8573-fad3bd3a8365'],"[92.5, 46.3]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,6616.0,Munir El Haddadi Mohamed,23.865665,-0.6217108,3.0,High Pass,"[111.9, 32.4]",38.0,Left Foot,,,,,,,,,,,,,,,,108.0,Through Ball,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875.508
5cca240a-d26b-408e-8573-fad3bd3a8365,1525,1,00:31:17.316,31,17,63,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['f20ef003-6a16-4bda-bfbf-b88c91f9b365'],"[111.9, 32.4]",6616.0,Munir El Haddadi Mohamed,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877.316
6a141496-218b-49b1-8d88-da1c96ed3ff1,1526,1,00:31:17.316,31,17,63,0.073,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['3048acb0-d86c-42ac-997b-206abf9e883c', '5cca240a-d26b-408e-8573-fad3bd3a8365']","[111.9, 32.4]",6616.0,Munir El Haddadi Mohamed,21.0,Left Wing,,,,,,,,,,,,"[111.9, 32.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877.316
3048acb0-d86c-42ac-997b-206abf9e883c,1527,1,00:31:17.389,31,17,63,1.1119,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['00613719-57aa-4b97-86be-17f7f8ec5c2c'],"[111.9, 32.4]",6616.0,Munir El Haddadi Mohamed,21.0,Left Wing,5246.0,Luis Alberto Suárez Díaz,18.836666,1.1380178,2.0,Low Pass,"[119.8, 49.5]",38.0,Left Foot,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877.389
00613719-57aa-4b97-86be-17f7f8ec5c2c,1528,1,00:31:18.501,31,18,63,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['3048acb0-d86c-42ac-997b-206abf9e883c'],"[113.7, 44.1]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.501
9a3d37c9-7f30-4886-a77b-75ed0281c769,1529,1,00:31:52.942,31,52,64,4.3271,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,"['044e0441-aa69-4913-89dc-671076549a5b', '2761dafb-716e-4da5-9ddc-4687331269ce']","[7.0, 36.1]",10763.0,Asier Riesgo Unamuno,1.0,Goalkeeper,6557.0,Adrián González Morales,97.133415,-0.28918877,3.0,High Pass,"[100.1, 8.4]",40.0,Right Foot,63.0,Goal Kick,,,True,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.942
2761dafb-716e-4da5-9ddc-4687331269ce,1530,1,00:31:57.269,31,57,64,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['9a3d37c9-7f30-4886-a77b-75ed0281c769'],"[98.6, 6.3]",6557.0,Adrián González Morales,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.269
