id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,pass_switch,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,out,shot_first_time,pass_inswinging,pass_technique_id,pass_technique_name,pass_straight,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,clearance_left_foot,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_deflected,block_deflection,pass_outswinging,clearance_other,injury_stoppage_in_chain,ball_recovery_recovery_failure,miscontrol_aerial_won,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,dribble_no_touch,shot_one_on_one,shot_aerial_won,timestamp_seconds
778dae56-145d-4008-9c13-e650a3a101f4,222,1,00:04:51.430,4,51,13,1.60438,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['09b13e2b-bd21-4f6d-a636-e85dab52fac4', '7858e876-91da-48f4-b993-801c2ed11766']",,"[58.7, 40.5]",5217.0,Iago Aspas Juncal,23.0,Center Forward,6801.0,Pedro Pablo Hernández,19.37937,-0.5421894,2.0,Low Pass,"[75.3, 30.5]",,,37.0,Head,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.43
7858e876-91da-48f4-b993-801c2ed11766,223,1,00:04:53.034,4,53,13,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['778dae56-145d-4008-9c13-e650a3a101f4'],,"[70.6, 29.9]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.034
09b13e2b-bd21-4f6d-a636-e85dab52fac4,224,1,00:04:53.034,4,53,14,3.48982,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,"['778dae56-145d-4008-9c13-e650a3a101f4', 'd91da385-571e-4eca-8e83-bfe6b0e17443']",,"[44.8, 49.6]",3638.0,Shkodran Mustafi,3.0,Right Center Back,6898.0,Jaume Doménech Sánchez,40.33683,-2.5969214,3.0,High Pass,"[10.3, 28.7]",66.0,Recovery,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.034
d91da385-571e-4eca-8e83-bfe6b0e17443,225,1,00:04:56.524,4,56,14,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['09b13e2b-bd21-4f6d-a636-e85dab52fac4'],,"[10.3, 28.7]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.524
2588985a-50cc-4772-8127-54a583ecbe1d,226,1,00:04:56.524,4,56,14,1.718504,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['0b3c23d9-5394-4378-acb0-f3b40789905b', 'd91da385-571e-4eca-8e83-bfe6b0e17443', 'e62be987-6c34-4edb-91bb-70b8ad27c79b']",,"[10.3, 28.7]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,"[12.0, 28.8]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.524
e62be987-6c34-4edb-91bb-70b8ad27c79b,227,1,00:04:57.168,4,57,14,1.066448,17,Pressure,207,Valencia,1,Regular Play,209,Celta Vigo,,,['2588985a-50cc-4772-8127-54a583ecbe1d'],,"[99.2, 39.7]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.168
0b3c23d9-5394-4378-acb0-f3b40789905b,228,1,00:04:58.242,4,58,14,1.670222,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['e879865b-cffa-487a-bab2-a6ce0183caa3'],,"[12.0, 28.8]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,6595.0,Daniel Parejo Muñoz,48.796925,0.47922838,3.0,High Pass,"[55.3, 51.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.242
a39f68c2-04a4-4166-afd1-3be3054cc798,229,1,00:04:59.677,4,59,14,0.476079,17,Pressure,207,Valencia,1,Regular Play,209,Celta Vigo,,,"['0acce8b0-7352-4b85-a574-e9f94b6fbe5c', 'e879865b-cffa-487a-bab2-a6ce0183caa3']",,"[66.7, 32.5]",6797.0,Daniel Wass,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.677
e879865b-cffa-487a-bab2-a6ce0183caa3,230,1,00:04:59.913,4,59,14,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,"['0b3c23d9-5394-4378-acb0-f3b40789905b', 'a39f68c2-04a4-4166-afd1-3be3054cc798']",,"[55.3, 51.3]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.913
0acce8b0-7352-4b85-a574-e9f94b6fbe5c,231,1,00:04:59.913,4,59,14,1.724397,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,"['a39f68c2-04a4-4166-afd1-3be3054cc798', 'b8e32d5c-b1c3-4f87-9078-b711eb52a0fd']",,"[54.5, 52.4]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,6751.0,Javier Fuego Martínez,9.097252,-2.5596876,2.0,Low Pass,"[46.9, 47.4]",,,70.0,Other,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.913
