id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,miscontrol_aerial_won,pass_switch,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,foul_won_defensive,clearance_aerial_won,dribble_nutmeg,out,pass_through_ball,pass_outswinging,clearance_left_foot,pass_cut_back,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,pass_deflected,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,block_offensive,dribble_overrun,ball_recovery_offensive,pass_goal_assist,shot_open_goal,timestamp_seconds
d8795729-7829-419a-a1bb-68361e97d62b,3119,2,00:30:33.514,75,33,185,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['b052d639-2386-4a01-ab9d-4ba6dbce09bd'],,"[66.6, 64.5]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.514
5ced57d6-c90b-4ccb-8b19-b187efb5cb3f,3120,2,00:30:33.514,75,33,185,1.942854,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['3d39772b-abbd-468c-9c28-30319611456c', 'd8795729-7829-419a-a1bb-68361e97d62b']",,"[66.6, 64.5]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,"[70.1, 69.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.514
3d39772b-abbd-468c-9c28-30319611456c,3121,2,00:30:35.457,75,35,185,0.97022,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['e49ee1ff-1e7a-4b6d-ae7e-4a67caf42f02'],,"[70.1, 69.7]",26633.0,Alberto Lora Ramos,2.0,Right Back,13107.0,Sergio Álvarez Díaz,12.175796,-1.8795606,1.0,Ground Pass,"[66.4, 58.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835.457
e49ee1ff-1e7a-4b6d-ae7e-4a67caf42f02,3122,2,00:30:36.427,75,36,185,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['3d39772b-abbd-468c-9c28-30319611456c'],,"[66.4, 58.1]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836.427
6560cf4f-c169-457b-a285-1ef208f2cc99,3123,2,00:30:36.427,75,36,185,1.44848,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['83f94f4e-a3c7-4c76-aa7d-2599f881e359', 'e49ee1ff-1e7a-4b6d-ae7e-4a67caf42f02']",,"[66.4, 58.1]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,"[65.0, 56.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836.427
83f94f4e-a3c7-4c76-aa7d-2599f881e359,3124,2,00:30:37.876,75,37,185,0.63133,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['00894e20-cdd7-44a9-9449-c73795f8a9cc'],,"[65.0, 56.7]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,18925.0,Ignacio Cases Mora,15.867262,-1.386997,1.0,Ground Pass,"[67.9, 41.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.876
00894e20-cdd7-44a9-9449-c73795f8a9cc,3125,2,00:30:38.507,75,38,185,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['83f94f4e-a3c7-4c76-aa7d-2599f881e359'],,"[67.9, 41.1]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.507
51bc2da1-556c-42c8-b375-92f58c799171,3126,2,00:30:38.507,75,38,185,0.7017,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['00894e20-cdd7-44a9-9449-c73795f8a9cc', '32c07c9c-ef5a-4424-82d5-3931a6d1100a']",,"[67.9, 41.1]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,"[67.9, 41.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.507
32c07c9c-ef5a-4424-82d5-3931a6d1100a,3127,2,00:30:39.209,75,39,185,0.559997,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['6eeeb480-9f35-4efb-8cd9-731867e216bc'],,"[67.9, 41.8]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,13107.0,Sergio Álvarez Díaz,15.182226,1.9133772,1.0,Ground Pass,"[62.8, 56.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839.209
6eeeb480-9f35-4efb-8cd9-731867e216bc,3128,2,00:30:39.769,75,39,185,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['32c07c9c-ef5a-4424-82d5-3931a6d1100a'],,"[62.8, 56.1]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839.769
