id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,pass_switch,out,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_aerial_won,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,off_camera,50_50_outcome_id,50_50_outcome_name,ball_recovery_recovery_failure,foul_won_defensive,clearance_left_foot,shot_aerial_won,foul_committed_advantage,foul_won_advantage,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,pass_no_touch,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_deflected,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
95a9fee6-4a2a-4ab3-b36c-b752919495e3,2738,2,00:22:23.697,67,23,128,0.955887,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['7a729fb9-2e82-4c01-9042-1b74fada3029'],"[34.0, 73.6]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,6375.0,Juan Francisco Torres Belén,3.9204593,1.4685897,1.0,Ground Pass,"[34.4, 77.5]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.697,0.8259999999997945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7003017517465648
7a729fb9-2e82-4c01-9042-1b74fada3029,2739,2,00:22:24.653,67,24,128,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['95a9fee6-4a2a-4ab3-b36c-b752919495e3'],"[34.4, 77.5]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.653,0.956000000000131,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5686536708530046
ae1e6de7-2606-4c99-a14b-209f452f7319,2740,2,00:22:24.653,67,24,128,0.878455,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['7a729fb9-2e82-4c01-9042-1b74fada3029', 'b187310c-f650-4231-b601-b3f6064e59ac', 'c660db2c-708b-419c-bc80-994af4a1ab6f']","[34.4, 77.5]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,"[32.9, 75.7]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.653,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45255812576364507
c660db2c-708b-419c-bc80-994af4a1ab6f,2741,2,00:22:25.196,67,25,128,0.449409,17,Pressure,212,Atlético Madrid,1,Regular Play,219,RC Deportivo La Coruña,,,"['ae1e6de7-2606-4c99-a14b-209f452f7319', 'b187310c-f650-4231-b601-b3f6064e59ac']","[87.4, 5.9]",6728.0,Federico Nicolás Cartabia,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.196,0.5429999999998927,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.19630523201613193
b187310c-f650-4231-b601-b3f6064e59ac,2742,2,00:22:25.531,67,25,128,1.779501,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['00e7e52a-ec38-426f-9ef3-12b5b2bbba14', 'c660db2c-708b-419c-bc80-994af4a1ab6f']","[32.9, 75.7]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,5199.0,Jorge Resurrección Merodio,9.563472,-1.6860725,1.0,Ground Pass,"[31.8, 66.2]",40.0,Right Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1345.531,0.3350000000000364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5084626420902465
00e7e52a-ec38-426f-9ef3-12b5b2bbba14,2743,2,00:22:25.725,67,25,128,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['b187310c-f650-4231-b601-b3f6064e59ac'],"[31.8, 66.2]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.725,0.19399999999995998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007716799018831488
ea0299f0-ce83-40e8-90e1-721614e3b6ee,2744,2,00:22:25.725,67,25,128,1.585297,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['00e7e52a-ec38-426f-9ef3-12b5b2bbba14', 'a1d6d0c6-8d50-442f-81e7-42b7b6176c27', 'b0ace616-64e5-4924-948b-47b5c118faa7']","[31.8, 66.2]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,,,,,,,,,,,,"[32.1, 69.8]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.725,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9210572641970872
a1d6d0c6-8d50-442f-81e7-42b7b6176c27,2745,2,00:22:25.725,67,25,128,0.0,6,Block,212,Atlético Madrid,1,Regular Play,219,RC Deportivo La Coruña,,,['ea0299f0-ce83-40e8-90e1-721614e3b6ee'],"[87.4, 11.2]",6728.0,Federico Nicolás Cartabia,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.725,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6868172014539011
2d391414-05fe-47b4-807a-4c33438d642c,2746,2,00:22:26.934,67,26,128,0.415706,17,Pressure,212,Atlético Madrid,1,Regular Play,219,RC Deportivo La Coruña,,,['b0ace616-64e5-4924-948b-47b5c118faa7'],"[88.7, 11.2]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.934,1.20900000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9547708444012649
c2d5341c-0a7d-4960-acb2-2a282cec29d6,2747,2,00:22:27.000,67,27,128,0.448574,17,Pressure,212,Atlético Madrid,1,Regular Play,219,RC Deportivo La Coruña,,,['b0ace616-64e5-4924-948b-47b5c118faa7'],"[88.3, 11.8]",6807.0,Roberto Suárez Pier,6.0,Left Back,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.0,0.06600000000003092,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.35925685918561656
